Server Round,Accuracy(DP with CNN),Accuracy(DP with RESNET50)
2,0.58099878,0.79902558
3,0.727162,0.81973203
4,0.77344702,0.8136419
5,0.7771011,0.81851401
6,0.76857491,0.82460414
7,0.78806334,0.82704019
8,0.78562728,0.83313033
9,0.78684531,0.82095006
10,0.78562728,0.82947625
11,0.78806334,0.83434836
12,0.78684531,0.83556638
13,0.79049939,0.82095006
14,0.7953715,0.82825822
15,0.79293544,0.84896468
16,0.79415347,0.84043849
17,0.79415347,0.83800244
18,0.79293544,0.84043849
19,0.79658952,0.84043849
20,0.79293544,0.84896468
21,0.7953715,0.84165652
22,0.79658952,0.83800244
23,0.79780755,0.83800244
24,0.79780755,0.84165652
25,0.79658952,0.84409257
26,0.79658952,0.84774665
27,0.79293544,0.84896468
28,0.79902558,0.84287454
29,0.79780755,0.84896468
30,0.79658952,0.85627284
31,0.80633374,0.84896468
32,0.79658952,0.84652862
33,0.79171742,0.84896468
34,0.79658952,0.85261876
35,0.79658952,0.84409257
36,0.80633374,0.84896468
37,0.79902558,0.84409257
38,0.80267966,0.84165652
39,0.7953715,0.8501827
40,0.79780755,0.84774665
41,0.79780755,0.86236297
42,0.79658952,0.85749086
43,0.79780755,0.85505481
44,0.79780755,0.82582217
45,0.80267966,0.85261876
46,0.81242387,0.83434836
47,0.79293544,0.8501827
48,0.80389769,0.86114495
49,0.79902558,0.8501827
50,0.80511571,0.86236297
