Server Round,Accuracy(DP with DNN)
1,0.77859446
2,0.79633658
3,0.80492846
4,0.80907856
5,0.81046193
6,0.81170363
7,0.81215364
8,0.81390368
9,0.81448703
10,0.81433703
11,0.81520371
12,0.81571206
13,0.81598707
14,0.81577039
15,0.81573706
16,0.81611207
17,0.81629541
18,0.81728710
19,0.81751210
20,0.81641208
21,0.81937048
22,0.81761211
23,0.81720376
24,0.81754544
25,0.81875380
26,0.81921215
27,0.81781211
28,0.81735377
29,0.81982050
30,0.82021217
31,0.82072052
32,0.82119553
33,0.82203722
34,0.82174554
35,0.82172888
36,0.82166221
37,0.82126220
38,0.82332058
39,0.82272057
40,0.82272057
41,0.82122886
42,0.82112053
43,0.82323725
44,0.82342059
45,0.82310391
46,0.82251223
47,0.82427894
48,0.82417894
49,0.82360392
50,0.82238723
